token,date,time,open,high,low,close
litecoin,2025-01-05,16:00:00,111.62,112.58,110.99,112.07
litecoin,2025-01-05,20:00:00,112.2,112.82,111.75,112.66
litecoin,2025-01-06,00:00:00,112.59,116.08,112.59,115.34
litecoin,2025-01-06,04:00:00,115.5,116.7,114.25,115.56
litecoin,2025-01-06,08:00:00,115.56,115.8,113.49,113.66
litecoin,2025-01-06,12:00:00,113.56,113.94,112.69,113.63
litecoin,2025-01-06,16:00:00,113.61,115.32,111.97,114.93
litecoin,2025-01-06,20:00:00,114.51,116.83,114.51,114.89
chainlink,2024-12-31,00:00:00,21.05,21.3,20.33,20.57
chainlink,2024-12-31,04:00:00,20.58,20.58,20.26,20.26
chainlink,2024-12-31,08:00:00,20.27,20.39,20.21,20.3
chainlink,2024-12-31,12:00:00,20.3,20.83,20.3,20.48
chainlink,2024-12-31,16:00:00,20.5,21.07,20.5,20.87
chainlink,2024-12-31,20:00:00,20.85,20.85,20.05,20.08
chainlink,2025-01-01,00:00:00,20.09,20.12,19.88,20.0
chainlink,2025-01-01,04:00:00,19.99,20.21,19.96,20.08
chainlink,2025-01-01,08:00:00,20.04,20.04,19.91,19.96
chainlink,2025-01-01,12:00:00,19.94,20.04,19.74,20.03
chainlink,2025-01-01,16:00:00,20.0,20.41,19.99,20.41
chainlink,2025-01-01,20:00:00,20.5,21.45,20.42,21.44
chainlink,2025-01-02,00:00:00,21.46,21.77,21.46,21.62
chainlink,2025-01-02,04:00:00,21.67,22.22,21.65,21.88
chainlink,2025-01-02,08:00:00,21.88,22.3,21.84,22.28
chainlink,2025-01-02,12:00:00,22.3,22.66,22.09,22.5
chainlink,2025-01-02,16:00:00,22.54,22.78,22.16,22.16
chainlink,2025-01-02,20:00:00,22.19,22.46,22.07,22.18
chainlink,2025-01-03,00:00:00,22.18,22.18,21.86,22.04
chainlink,2025-01-03,04:00:00,22.05,22.34,21.94,22.14
chainlink,2025-01-03,08:00:00,22.19,22.19,21.83,21.83
chainlink,2025-01-03,12:00:00,21.8,22.57,21.67,22.57
chainlink,2025-01-03,16:00:00,22.6,23.39,22.46,23.39
chainlink,2025-01-03,20:00:00,23.43,23.85,23.4,23.81
chainlink,2025-01-04,00:00:00,23.72,23.72,23.36,23.36
